Symbol,CompanyName,Sector,Industry,GeographyID,SymbolID
TEAM,Atlassian Corporation,Technology,Software - Application,1,1
WDS,Woodside Energy Group Limited,Energy,Oil & Gas E&P,1,2
OSW,OneSpaWorld Holdings Limited,Consumer Cyclical,Leisure,2,3
ACGL,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,3,4
AGO,Assured Guaranty Ltd.,Financial Services,Insurance - Specialty,3,5
ASC,Ardmore Shipping Corporation,Industrials,Marine Shipping,3,6
AXS,Axis Capital Holdings Limited,Financial Services,Insurance - Specialty,3,7
BNT,Brookfield Wealth Solutions Ltd,Financial Services,Insurance - Diversified,3,8
BORR,Borr Drilling Limited,Energy,Oil & Gas Drilling,3,9
DHT,"DHT Holdings, Inc.",Energy,Oil & Gas Midstream,3,10
EG,"Everest Group, Ltd.",Financial Services,Insurance - Reinsurance,3,11
ESGR,Enstar Group Limited,Financial Services,Insurance - Diversified,3,12
ESNT,Essent Group Ltd.,Financial Services,Insurance - Specialty,3,13
FIHL,Fidelis Insurance Holdings Limi,Financial Services,Insurance - Diversified,3,14
G,Genpact Limited,Technology,Information Technology Services,3,15
GLNG,Golar LNG Limited,Energy,Oil & Gas Midstream,3,16
GOGL,Golden Ocean Group Limited,Industrials,Marine Shipping,3,17
HG,"Hamilton Insurance Group, Ltd.",Financial Services,Insurance - Reinsurance,3,18
JRVR,"James River Group Holdings, Ltd",Financial Services,Insurance - Specialty,3,19
LBTYA,Liberty Global Ltd.,Communication Services,Telecom Services,3,20
LBTYK,Liberty Global Ltd.,Communication Services,Telecom Services,3,21
LILA,Liberty Latin America Ltd.,Communication Services,Telecom Services,3,22
LILAK,Liberty Latin America Ltd.,Communication Services,Telecom Services,3,23
MHLD,"Maiden Holdings, Ltd.",Financial Services,Insurance - Reinsurance,3,24
NAT,Nordic American Tankers Limited,Energy,Oil & Gas Midstream,3,25
NBR,Nabors Industries Ltd.,Energy,Oil & Gas Drilling,3,26
RNR,RenaissanceRe Holdings Ltd.,Financial Services,Insurance - Reinsurance,3,27
SDRL,Seadrill Limited,Energy,Oil & Gas Drilling,3,28
SFL,SFL Corporation Ltd,Industrials,Marine Shipping,3,29
SIG,Signet Jewelers Limited,Consumer Cyclical,Luxury Goods,3,30
SPNT,SiriusPoint Ltd.,Financial Services,Insurance - Reinsurance,3,31
TK,Teekay Corporation Ltd.,Energy,Oil & Gas Midstream,3,32
TNK,Teekay Tankers Ltd.,Energy,Oil & Gas Midstream,3,33
VAL,Valaris Limited,Energy,Oil & Gas Equipment & Services,3,34
VIK,Viking Holdings Ltd,Consumer Cyclical,Travel Services,3,35
WTM,White Mountains Insurance Group,Financial Services,Insurance - Property & Casualty,3,36
ABEV,Ambev S.A.,Consumer Defensive,Beverages - Brewers,4,37
BAK,Braskem SA,Basic Materials,Chemicals,4,38
BBD,Banco Bradesco Sa,Financial Services,Banks - Regional,4,39
BRFS,BRF S.A.,Consumer Defensive,Packaged Foods,4,40
CIG,Comp En De Mn Cemig,Utilities,Utilities - Diversified,4,41
EBR,Centrais Electricas Brasileiras,Utilities,Utilities - Renewable,4,42
GGB,Gerdau S.A.,Basic Materials,Steel,4,43
INTR,Inter & Co. Inc.,Financial Services,Banks - Regional,4,44
ITUB,Itau Unibanco Banco Holding SA,Financial Services,Banks - Regional,4,45
NU,Nu Holdings Ltd.,Financial Services,Banks - Regional,4,46
PAGS,PagSeguro Digital Ltd.,Technology,Software - Infrastructure,4,47
PBR-A,Petroleo Brasileiro S.A.- Petro,Energy,Oil & Gas Integrated,4,48
SID,Companhia Siderurgica Nacional ,Basic Materials,Steel,4,49
SUZ,Suzano S.A.,Basic Materials,Paper & Paper Products,4,50
TIMB,TIM S.A.,Communication Services,Telecom Services,4,51
USNZY,Usinas Siderurgicas de Minas Ge,Basic Materials,Steel,4,52
VALE,VALE S.A.,Basic Materials,Other Industrial Metals & Mining,4,53
DESP,"Despegar.com, Corp.",Consumer Cyclical,Travel Services,5,54
ABCL,AbCellera Biologics Inc.,Healthcare,Biotechnology,6,55
ACHV,"Achieve Life Sciences, Inc.",Healthcare,Biotechnology,6,56
AEM,Agnico Eagle Mines Limited,Basic Materials,Gold,6,57
AETUF,Arc Resources Ltd.,Energy,Oil & Gas E&P,6,58
AG,First Majestic Silver Corp.,Basic Materials,Silver,6,59
AGI,Alamos Gold Inc.,Basic Materials,Gold,6,60
AQN,Algonquin Power & Utilities Cor,Utilities,Utilities - Diversified,6,61
ATS,ATS Corporation,Industrials,Specialty Industrial Machinery,6,62
AUPH,Aurinia Pharmaceuticals Inc,Healthcare,Biotechnology,6,63
BAM,Brookfield Asset Management Inc,Financial Services,Asset Management,6,64
BB,BlackBerry Limited,Technology,Software - Infrastructure,6,65
BCE,"BCE, Inc.",Communication Services,Telecom Services,6,66
BHC,Bausch Health Companies Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,6,67
BLDP,"Ballard Power Systems, Inc.",Industrials,Specialty Industrial Machinery,6,68
BMO,Bank Of Montreal,Financial Services,Banks - Diversified,6,69
