Date,TimeID,Day,Month,Quarter,Year,Weekday
2024-01-11 10:44:03,1,11.0,1.0,1.0,2024.0,Thursday
2024-01-24 08:07:24,2,24.0,1.0,1.0,2024.0,Wednesday
2024-01-10 11:00:08,3,10.0,1.0,1.0,2024.0,Wednesday
2024-01-16 08:14:21,4,16.0,1.0,1.0,2024.0,Tuesday
2024-01-16 14:34:12,5,16.0,1.0,1.0,2024.0,Tuesday
2024-01-30 14:31:55,6,30.0,1.0,1.0,2024.0,Tuesday
2024-01-31 14:38:17,7,31.0,1.0,1.0,2024.0,Wednesday
2024-01-31 15:09:11,8,31.0,1.0,1.0,2024.0,Wednesday
2024-02-05 15:02:45,9,5.0,2.0,1.0,2024.0,Monday
2024-01-11 11:36:32,10,11.0,1.0,1.0,2024.0,Thursday
2024-01-15 08:00:47,11,15.0,1.0,1.0,2024.0,Monday
2024-03-25 16:06:36,12,25.0,3.0,1.0,2024.0,Monday
2024-04-10 07:00:24,13,10.0,4.0,2.0,2024.0,Wednesday
2024-03-25 08:26:52,14,25.0,3.0,1.0,2024.0,Monday
2024-04-10 12:45:04,15,10.0,4.0,2.0,2024.0,Wednesday
2024-03-25 11:16:58,16,25.0,3.0,1.0,2024.0,Monday
2024-04-22 07:23:47,17,22.0,4.0,2.0,2024.0,Monday
2024-09-03 18:03:58,18,3.0,9.0,3.0,2024.0,Tuesday
2024-09-13 15:18:32,19,13.0,9.0,3.0,2024.0,Friday
2024-09-23 16:58:09,20,23.0,9.0,3.0,2024.0,Monday
2024-10-28 14:24:00,21,28.0,10.0,4.0,2024.0,Monday
2024-06-13 13:45:08,22,13.0,6.0,2.0,2024.0,Thursday
2024-06-19 12:48:15,23,19.0,6.0,2.0,2024.0,Wednesday
2024-08-29 07:22:11,24,29.0,8.0,3.0,2024.0,Thursday
2024-08-02 14:43:25,25,2.0,8.0,3.0,2024.0,Friday
2024-08-29 07:00:43,26,29.0,8.0,3.0,2024.0,Thursday
2024-05-23 09:01:21,27,23.0,5.0,2.0,2024.0,Thursday
2024-05-27 08:33:24,28,27.0,5.0,2.0,2024.0,Monday
2024-05-29 10:27:02,29,29.0,5.0,2.0,2024.0,Wednesday
2024-07-25 07:03:30,30,25.0,7.0,3.0,2024.0,Thursday
2024-04-30 14:42:51,31,30.0,4.0,2.0,2024.0,Tuesday
2024-05-16 07:23:20,32,16.0,5.0,2.0,2024.0,Thursday
2024-06-04 13:59:49,33,4.0,6.0,2.0,2024.0,Tuesday
2024-07-03 11:12:31,34,3.0,7.0,3.0,2024.0,Wednesday
2024-02-28 20:53:36,35,28.0,2.0,1.0,2024.0,Wednesday
